0,2
2022-04-01,6
2022-04-02,7
2022-04-03,4
2022-04-04,15
2022-04-05,7
2022-04-06,9
2022-04-07,9
2022-04-08,9
2022-04-09,7
2022-04-10,1
2022-04-11,17
2022-04-12,8
2022-04-13,7
2022-04-14,9
2022-04-15,3
2022-04-16,2
2022-04-17,3
2022-04-18,1
2022-04-19,2
2022-04-20,4
2022-04-21,3
2022-04-22,3
2022-04-23,6
2022-04-24,3
2022-04-25,5
2022-04-26,7
2022-04-27,2
2022-04-28,2
2022-04-29,2
2022-04-30,4
2022-05-01,4
2022-05-02,6
2022-05-03,3
2022-05-04,2
2022-05-06,10
2022-05-07,2
2022-05-08,3
2022-05-09,4
2022-05-10,3
2022-05-11,11
2022-05-12,9
2022-05-13,6
2022-05-14,4
2022-05-15,5
2022-05-16,21
2022-05-17,14
2022-05-18,7
2022-05-19,8
2022-05-20,5
2022-05-21,2
2022-05-22,1
2022-05-23,7
2022-05-24,9
2022-05-25,4
2022-05-26,8
2022-05-27,4
2022-05-28,3
2022-05-29,3
2022-05-30,4
2022-05-31,7
2022-06-01,1
2022-06-02,1
2022-06-03,4
2022-06-04,1
2022-06-05,2
2022-06-06,2
2022-06-07,3
2022-06-08,1
2022-06-09,1
2022-06-11,3
2022-06-14,2
2022-06-15,3
2022-06-16,2
2022-06-17,1
2022-06-18,1
2022-06-19,1
2022-06-20,1
2022-06-21,1
2022-06-22,1
2022-06-23,3
2022-06-24,4
2022-06-27,3
2022-06-28,1
2022-06-29,12
2022-06-30,20
2022-07-01,5
2022-07-02,9
2022-07-03,5
2022-07-04,10
2022-07-05,15
2022-07-06,11
2022-07-07,11
2022-07-08,11
2022-07-09,13
2022-07-10,7
2022-07-11,32
2022-07-12,36
2022-07-13,35
2022-07-14,34
2022-07-15,25
2022-07-16,13
2022-07-17,6
2022-07-18,9
2022-07-19,31
2022-07-20,47
2022-07-21,44
2022-07-22,33
2022-07-23,24
2022-07-24,14
2022-07-25,36
2022-07-26,45
2022-07-27,32
2022-07-28,28
2022-07-29,17
2022-07-30,15
2022-07-31,2
2022-08-01,26
2022-08-02,19
2022-08-03,19
2022-08-04,17
2022-08-05,6
